475179	ESU-8J98	DVS-1H86	10030	13475	2025-03-12 04:09:06.740	E	487109	2	0	389622			0		1			1										E									0	0			L	00306138/2025	21912	0					0	NFE	147	0	2025-03-12 04:09:06.740					   -	4152		0	0	0
475178	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 04:02:58.937	E	487108	2	1	387741			0		0			0										E									0	0				00305935/2025	294422	0					0	NFE	147	0	2025-03-12 04:02:58.937					   -	4152		0	0	0
475177	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 04:01:16.847	E	487108	2	1	388796			0		0			0										E									0	0				00305937/2025	294424	0					0	NFE	147	0	2025-03-12 04:01:16.847					   -	4152		0	0	0
475176	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 03:59:19.267	E	487108	2	1	387115			0		0			0										E									0	0				00305939/2025	294426	0					0	NFE	147	0	2025-03-12 03:59:19.267					   -	4152		0	0	0
475175	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 03:58:09.347	E	487108	2	1	389483			0		0			0										E									0	0				00305982/2025	294468	0					0	NFE	147	0	2025-03-12 03:58:09.347					   -	4152		0	0	0
475174	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 03:56:54.693	E	487108	2	1	389484			0		0			0										E									0	0				00305983/2025	294469	0					0	NFE	147	0	2025-03-12 03:56:54.693					   -	4152		0	0	0
475173	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 03:55:31.323	E	487108	2	1	386091			0		0			0										E									0	0				00305941/2025	294428	0					0	NFE	147	0	2025-03-12 03:55:31.323					   -	4152		0	0	0
475172	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 03:54:02.550	E	487108	2	1	389485			0		0			0										E									0	0				00305989/2025	294475	0					0	NFE	147	0	2025-03-12 03:54:02.550					   -	4152		0	0	0
475171	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 03:52:37.887	E	487108	2	1	388347			0		0			0										E									0	0				00305943/2025	294430	0					0	NFE	147	0	2025-03-12 03:52:37.887					   -	4152		0	0	0
475170	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 03:51:01.683	E	487108	2	1	387861			0		0			0										E									0	0				00305945/2025	294432	0					0	NFE	147	0	2025-03-12 03:51:01.683					   -	4152		0	0	0
475169	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 03:50:06.750	E	487108	2	1	387567			0		0			0										E									0	0				00305950/2025	294437	0					0	NFE	147	0	2025-03-12 03:50:06.750					   -	4152		0	0	0
475168	CYN-8E79	CDL-8H29	110174	13581	2025-03-12 03:48:42.527	E	487108	2	1	388321			0		0			0										E									0	0				00305951/2025	294438	0					0	NFE	147	0	2025-03-12 03:48:42.527					   -	4152		0	0	0
475167	EGV-0E09	EHH-9610	96348	10172	2025-03-12 03:35:40.870	E	487104	2	0	389516			0		1			1										E									0	0			L	00306144/2025	21915	0					0	NFE	147	0	2025-03-12 03:35:40.870					   -	4152		0	0	0
